F2 Ground,F2 Clinch,F2 Distance,F2 Leg,F2 Body,F2 Head,F1 Ground,F1 Clinch,F1 Distance,F1 Leg,F1 Body,F1 Head,F2 Control Time,F2 Reversals,F2 Sub Attacks,F2 Takedown Perc,F2 Takedowns,F2 Total Strikes,F2 Sig Strike Perc,F2 Sig Strikes,F2 Knockdowns,F1 Control Time,F1 Reversals,F1 Sub Attacks,F1 Takedown Perc,F1 Takedowns,F1 Total Strikes,F1 Sig Strike Perc,F1 Sig Strikes,F1 Knockdowns,Round,Fight Link
0 of 0,0 of 0,23 of 43,11 of 13,6 of 8,6 of 22,0 of 0,4 of 5,19 of 36,14 of 19,8 of 10,1 of 12,0:14,0,0,---,0 of 0,23 of 44,53%,23 of 43,0,0:06,0,0,---,0 of 0,28 of 46,56%,23 of 41,0,1,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
0 of 0,1 of 1,19 of 43,4 of 6,2 of 2,14 of 36,0 of 0,2 of 3,15 of 33,1 of 5,4 of 6,12 of 25,1:13,0,0,0%,0 of 2,30 of 54,45%,20 of 44,0,0:21,0,0,100%,1 of 1,33 of 54,47%,17 of 36,0,2,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
6 of 10,0 of 0,8 of 15,2 of 2,5 of 6,7 of 17,1 of 1,1 of 1,6 of 12,2 of 3,3 of 3,3 of 8,3:47,0,0,100%,1 of 1,31 of 52,56%,14 of 25,0,0:00,0,0,---,0 of 0,19 of 29,57%,8 of 14,0,3,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
0 of 0,0 of 1,20 of 34,4 of 5,6 of 11,10 of 19,0 of 0,4 of 5,11 of 24,3 of 6,4 of 5,8 of 18,1:08,0,0,0%,0 of 1,26 of 44,57%,20 of 35,0,0:02,0,0,---,0 of 0,30 of 45,51%,15 of 29,0,4,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
0 of 0,2 of 2,7 of 13,3 of 4,2 of 2,4 of 9,0 of 0,3 of 3,25 of 34,2 of 2,8 of 9,18 of 26,0:12,0,0,---,0 of 0,9 of 15,60%,9 of 15,0,0:02,0,0,---,0 of 0,30 of 40,75%,28 of 37,0,5,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
0 of 1,0 of 0,5 of 26,0 of 0,0 of 1,5 of 26,13 of 15,0 of 0,20 of 50,8 of 10,6 of 7,19 of 48,0:53,1,0,33%,1 of 3,18 of 45,18%,5 of 27,0,1:00,1,0,---,0 of 0,38 of 77,50%,33 of 65,0,1,http://ufcstats.com/fight-details/85b5d59f8eea976a
0 of 0,0 of 0,1 of 5,0 of 0,0 of 0,1 of 5,0 of 0,0 of 0,4 of 13,1 of 1,2 of 2,1 of 10,0:02,0,0,0%,0 of 1,1 of 5,20%,1 of 5,0,0:30,0,1,---,0 of 0,4 of 13,30%,4 of 13,0,2,http://ufcstats.com/fight-details/85b5d59f8eea976a
0 of 1,2 of 2,21 of 66,1 of 3,6 of 12,16 of 54,0 of 0,3 of 4,25 of 53,1 of 2,2 of 2,25 of 53,1:05,0,0,50%,2 of 4,24 of 73,33%,23 of 69,0,0:00,0,0,---,0 of 0,31 of 61,49%,28 of 57,0,1,http://ufcstats.com/fight-details/4bf3010fdeea9d93
16 of 21,0 of 0,2 of 4,0 of 0,2 of 3,16 of 22,0 of 0,0 of 0,2 of 3,0 of 0,0 of 0,2 of 3,4:34,0,0,100%,1 of 1,39 of 56,72%,18 of 25,0,0:00,0,0,---,0 of 0,23 of 25,66%,2 of 3,0,2,http://ufcstats.com/fight-details/4bf3010fdeea9d93
0 of 0,0 of 0,2 of 6,0 of 0,2 of 2,0 of 4,3 of 6,0 of 0,5 of 10,1 of 1,0 of 0,7 of 15,0:00,0,0,0%,0 of 2,2 of 6,33%,2 of 6,0,0:47,0,2,---,0 of 0,9 of 19,50%,8 of 16,0,3,http://ufcstats.com/fight-details/4bf3010fdeea9d93
0 of 0,0 of 0,2 of 12,2 of 6,0 of 1,0 of 5,0 of 0,0 of 0,10 of 20,4 of 5,0 of 1,6 of 14,0:00,0,0,---,0 of 0,2 of 12,16%,2 of 12,0,0:01,0,0,---,0 of 0,10 of 20,50%,10 of 20,1,1,http://ufcstats.com/fight-details/09afa6ce4747a1a2
0 of 0,0 of 0,0 of 5,0 of 0,0 of 1,0 of 4,0 of 0,0 of 0,10 of 27,6 of 11,2 of 3,2 of 13,0:00,0,1,0%,0 of 2,0 of 5,0%,0 of 5,0,1:11,0,0,---,0 of 0,16 of 35,37%,10 of 27,0,1,http://ufcstats.com/fight-details/77c78d0a71b10692
0 of 0,0 of 0,5 of 13,1 of 1,3 of 4,1 of 8,5 of 5,0 of 0,14 of 31,2 of 2,11 of 13,6 of 21,0:08,0,0,0%,0 of 6,5 of 13,38%,5 of 13,0,0:57,0,1,---,0 of 0,21 of 38,52%,19 of 36,1,2,http://ufcstats.com/fight-details/77c78d0a71b10692
0 of 0,0 of 0,14 of 25,2 of 2,6 of 7,6 of 16,0 of 0,0 of 0,10 of 33,0 of 1,0 of 0,10 of 32,0:14,0,0,0%,0 of 1,14 of 25,56%,14 of 25,0,0:34,0,1,0%,0 of 1,11 of 35,30%,10 of 33,0,1,http://ufcstats.com/fight-details/1f922cfe6178e830
0 of 0,0 of 0,5 of 12,0 of 0,4 of 4,1 of 8,1 of 1,0 of 0,7 of 16,0 of 0,1 of 1,7 of 16,0:00,0,0,---,0 of 0,5 of 12,41%,5 of 12,0,0:03,0,0,0%,0 of 1,8 of 17,47%,8 of 17,1,1,http://ufcstats.com/fight-details/6f22afbc5f8e0bd3
0 of 0,0 of 0,7 of 13,2 of 3,3 of 3,2 of 7,18 of 19,0 of 0,7 of 19,2 of 2,1 of 2,22 of 34,0:00,0,0,---,0 of 0,7 of 13,53%,7 of 13,0,2:48,0,2,100%,1 of 1,93 of 115,65%,25 of 38,0,1,http://ufcstats.com/fight-details/93da91272d4a7ce3
3 of 3,0 of 1,30 of 63,6 of 6,7 of 16,20 of 45,0 of 0,1 of 1,24 of 62,1 of 2,7 of 8,17 of 53,0:01,0,0,---,0 of 0,36 of 70,49%,33 of 67,0,1:04,0,0,50%,2 of 4,26 of 64,39%,25 of 63,0,1,http://ufcstats.com/fight-details/65ce9335b93d9c57
0 of 0,0 of 0,7 of 15,1 of 1,5 of 6,1 of 8,2 of 5,2 of 2,8 of 15,0 of 0,2 of 3,10 of 19,1:32,0,1,33%,1 of 3,24 of 33,46%,7 of 15,0,2:23,0,1,66%,2 of 3,16 of 29,54%,12 of 22,0,2,http://ufcstats.com/fight-details/65ce9335b93d9c57
0 of 0,0 of 0,1 of 4,0 of 2,0 of 1,1 of 1,5 of 10,0 of 0,0 of 1,0 of 0,0 of 0,5 of 11,0:07,0,0,---,0 of 0,11 of 15,25%,1 of 4,0,4:32,0,1,100%,4 of 4,16 of 26,45%,5 of 11,0,3,http://ufcstats.com/fight-details/65ce9335b93d9c57
0 of 0,0 of 1,10 of 21,0 of 0,4 of 5,6 of 17,2 of 2,2 of 3,7 of 22,0 of 1,1 of 2,10 of 24,0:00,0,0,---,0 of 0,11 of 23,45%,10 of 22,0,0:02,0,0,---,0 of 0,12 of 28,40%,11 of 27,1,1,http://ufcstats.com/fight-details/40707ddc9fdea500
0 of 0,0 of 0,6 of 31,1 of 2,2 of 2,3 of 27,0 of 0,0 of 0,5 of 15,0 of 0,1 of 3,4 of 12,0:00,0,0,---,0 of 0,7 of 32,19%,6 of 31,0,3:45,0,0,100%,2 of 2,20 of 41,33%,5 of 15,0,1,http://ufcstats.com/fight-details/ff2e4b411f695017
0 of 0,0 of 0,27 of 105,2 of 2,7 of 8,18 of 95,0 of 0,1 of 1,30 of 85,2 of 2,8 of 13,21 of 71,0:00,0,0,---,0 of 0,27 of 105,25%,27 of 105,0,0:03,0,0,---,0 of 0,31 of 86,36%,31 of 86,0,2,http://ufcstats.com/fight-details/ff2e4b411f695017
0 of 0,2 of 4,42 of 123,4 of 5,15 of 20,25 of 102,0 of 0,2 of 3,36 of 98,4 of 5,4 of 9,30 of 87,0:10,0,0,---,0 of 0,45 of 130,34%,44 of 127,0,0:15,0,0,---,0 of 0,39 of 103,37%,38 of 101,0,3,http://ufcstats.com/fight-details/ff2e4b411f695017
0 of 0,1 of 3,25 of 70,4 of 5,3 of 7,19 of 61,10 of 12,1 of 1,21 of 40,2 of 2,2 of 2,28 of 49,0:12,0,0,0%,0 of 1,26 of 74,35%,26 of 73,1,0:14,0,0,---,0 of 0,34 of 55,60%,32 of 53,2,1,http://ufcstats.com/fight-details/7f93b2f38497caec
0 of 0,0 of 0,4 of 22,1 of 3,1 of 3,2 of 16,0 of 0,1 of 1,4 of 16,1 of 1,1 of 1,3 of 15,0:06,0,0,50%,1 of 2,9 of 27,18%,4 of 22,0,2:09,0,0,0%,0 of 1,15 of 29,29%,5 of 17,0,1,http://ufcstats.com/fight-details/bee95769a221af9a
0 of 0,0 of 0,15 of 58,3 of 3,5 of 8,7 of 47,0 of 0,1 of 2,18 of 44,3 of 3,3 of 4,13 of 39,0:00,0,0,---,0 of 0,25 of 72,25%,15 of 58,0,1:12,0,0,0%,0 of 2,24 of 54,41%,19 of 46,0,2,http://ufcstats.com/fight-details/bee95769a221af9a
0 of 0,1 of 2,6 of 44,1 of 1,2 of 6,4 of 39,11 of 19,2 of 2,11 of 22,0 of 0,1 of 2,23 of 41,0:00,0,0,---,0 of 0,10 of 57,15%,7 of 46,0,2:34,0,0,---,0 of 0,25 of 44,55%,24 of 43,1,3,http://ufcstats.com/fight-details/bee95769a221af9a
0 of 0,0 of 0,2 of 14,1 of 3,1 of 4,0 of 7,2 of 3,0 of 0,12 of 20,4 of 6,2 of 2,8 of 15,0:00,0,0,---,0 of 0,2 of 14,14%,2 of 14,0,0:05,0,0,---,0 of 0,14 of 23,60%,14 of 23,1,1,http://ufcstats.com/fight-details/db026ff6eee4d174
1 of 1,0 of 0,8 of 28,7 of 15,1 of 5,1 of 9,0 of 0,1 of 1,10 of 17,3 of 3,4 of 6,4 of 9,0:15,0,0,---,0 of 0,12 of 33,31%,9 of 29,0,0:00,0,0,0%,0 of 1,11 of 18,61%,11 of 18,0,1,http://ufcstats.com/fight-details/abfc03893551ae73
0 of 0,0 of 0,4 of 15,2 of 2,1 of 2,1 of 11,1 of 1,2 of 3,5 of 12,0 of 1,4 of 5,4 of 10,0:00,0,0,---,0 of 0,26 of 37,26%,4 of 15,0,3:06,0,1,100%,1 of 1,22 of 30,50%,8 of 16,0,2,http://ufcstats.com/fight-details/abfc03893551ae73
0 of 0,0 of 0,6 of 8,1 of 1,1 of 1,4 of 6,0 of 0,0 of 0,10 of 19,0 of 0,2 of 2,8 of 17,0:00,0,0,---,0 of 0,6 of 8,75%,6 of 8,0,0:00,0,0,---,0 of 0,10 of 19,52%,10 of 19,0,3,http://ufcstats.com/fight-details/abfc03893551ae73
0 of 0,0 of 0,20 of 36,9 of 9,6 of 8,5 of 19,1 of 1,5 of 7,16 of 31,2 of 2,6 of 8,14 of 29,0:15,0,0,0%,0 of 1,21 of 37,55%,20 of 36,0,1:37,0,0,66%,2 of 3,38 of 59,56%,22 of 39,0,1,http://ufcstats.com/fight-details/b279559f15ecf29b
0 of 0,3 of 3,32 of 50,4 of 4,6 of 6,25 of 43,0 of 0,5 of 7,22 of 45,1 of 1,8 of 10,18 of 41,0:22,0,0,---,0 of 0,37 of 55,66%,35 of 53,0,0:27,0,0,---,0 of 0,33 of 59,51%,27 of 52,0,2,http://ufcstats.com/fight-details/b279559f15ecf29b
0 of 2,0 of 0,11 of 17,2 of 2,3 of 3,6 of 14,0 of 0,0 of 0,8 of 18,0 of 0,2 of 3,6 of 15,0:39,0,0,---,0 of 0,13 of 21,57%,11 of 19,0,2:04,0,1,75%,3 of 4,35 of 51,44%,8 of 18,0,3,http://ufcstats.com/fight-details/b279559f15ecf29b
0 of 0,0 of 0,5 of 5,3 of 3,2 of 2,0 of 0,15 of 26,0 of 0,4 of 10,0 of 0,0 of 0,19 of 36,0:00,0,0,---,0 of 0,5 of 5,100%,5 of 5,0,0:33,0,0,---,0 of 0,32 of 50,52%,19 of 36,1,1,http://ufcstats.com/fight-details/2664805fde34fb1b
1 of 1,0 of 0,3 of 9,1 of 1,1 of 1,2 of 8,2 of 2,0 of 1,2 of 6,0 of 0,0 of 1,4 of 8,0:00,0,0,---,0 of 0,23 of 30,40%,4 of 10,0,1:34,0,1,50%,1 of 2,9 of 14,44%,4 of 9,0,1,http://ufcstats.com/fight-details/3adecfc4727a8d73
3 of 6,0 of 0,2 of 4,0 of 0,0 of 0,5 of 10,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0,0:24,0,0,---,0 of 0,18 of 28,50%,5 of 10,0,4:22,0,0,50%,1 of 2,27 of 31,100%,1 of 1,0,1,http://ufcstats.com/fight-details/1535fb6549fa8bab
1 of 1,0 of 0,3 of 6,1 of 1,1 of 1,2 of 5,4 of 7,0 of 0,2 of 5,1 of 1,1 of 1,4 of 10,0:00,0,0,---,0 of 0,26 of 29,57%,4 of 7,0,4:22,0,0,25%,1 of 4,13 of 21,50%,6 of 12,0,2,http://ufcstats.com/fight-details/1535fb6549fa8bab
0 of 0,0 of 0,6 of 13,0 of 0,2 of 2,4 of 11,3 of 4,1 of 1,22 of 31,9 of 9,4 of 6,13 of 21,0:00,0,0,---,0 of 0,6 of 13,46%,6 of 13,0,0:47,0,2,---,0 of 0,33 of 44,72%,26 of 36,1,3,http://ufcstats.com/fight-details/1535fb6549fa8bab
0 of 0,0 of 0,18 of 48,3 of 3,2 of 2,13 of 43,2 of 2,0 of 0,20 of 50,6 of 7,3 of 5,13 of 40,0:00,0,0,---,0 of 0,18 of 48,37%,18 of 48,0,1:27,0,0,100%,1 of 1,41 of 74,42%,22 of 52,0,1,http://ufcstats.com/fight-details/71afa8354da2491e
0 of 0,0 of 0,6 of 19,1 of 1,1 of 1,4 of 17,11 of 12,3 of 3,8 of 15,0 of 0,9 of 9,13 of 21,0:00,0,0,---,0 of 0,6 of 19,31%,6 of 19,0,3:39,0,0,50%,2 of 4,52 of 67,73%,22 of 30,0,2,http://ufcstats.com/fight-details/71afa8354da2491e
0 of 0,0 of 0,5 of 15,0 of 0,2 of 2,3 of 13,9 of 11,0 of 0,10 of 15,0 of 0,2 of 2,17 of 24,0:00,0,0,---,0 of 0,5 of 15,33%,5 of 15,0,4:08,0,1,66%,2 of 3,79 of 99,73%,19 of 26,0,3,http://ufcstats.com/fight-details/71afa8354da2491e
4 of 4,0 of 0,13 of 21,9 of 9,2 of 2,6 of 14,12 of 15,0 of 0,32 of 52,12 of 13,12 of 13,20 of 41,0:00,0,0,---,0 of 0,17 of 25,68%,17 of 25,0,2:36,0,3,100%,1 of 1,49 of 72,65%,44 of 67,0,1,http://ufcstats.com/fight-details/2ab395e21080b10a
0 of 0,0 of 0,6 of 14,3 of 3,3 of 6,0 of 5,2 of 2,0 of 0,9 of 16,0 of 0,1 of 1,10 of 17,0:00,0,0,---,0 of 0,6 of 14,42%,6 of 14,0,0:00,0,0,---,0 of 0,11 of 18,61%,11 of 18,1,1,http://ufcstats.com/fight-details/5475f5b6bad40989
0 of 0,0 of 0,21 of 54,2 of 2,5 of 5,14 of 47,0 of 0,0 of 0,38 of 94,4 of 6,11 of 12,23 of 76,0:00,0,0,0%,0 of 1,21 of 54,38%,21 of 54,0,0:00,0,0,---,0 of 0,38 of 94,40%,38 of 94,0,1,http://ufcstats.com/fight-details/31cb98ce37fd87dd
0 of 0,1 of 1,8 of 28,0 of 0,2 of 2,7 of 27,1 of 1,3 of 3,15 of 47,0 of 2,5 of 7,14 of 42,1:30,0,0,0%,0 of 1,15 of 35,31%,9 of 29,0,1:19,0,0,0%,0 of 1,39 of 74,37%,19 of 51,0,2,http://ufcstats.com/fight-details/31cb98ce37fd87dd
3 of 3,6 of 6,17 of 60,0 of 0,5 of 6,21 of 63,2 of 2,0 of 0,19 of 80,3 of 3,0 of 1,18 of 78,0:00,0,0,---,0 of 0,34 of 77,37%,26 of 69,0,1:20,0,0,66%,2 of 3,37 of 102,25%,21 of 82,0,3,http://ufcstats.com/fight-details/31cb98ce37fd87dd
0 of 0,1 of 1,57 of 122,15 of 16,17 of 24,26 of 83,0 of 0,0 of 1,50 of 115,16 of 16,19 of 24,15 of 76,0:00,0,0,---,0 of 0,58 of 123,47%,58 of 123,0,0:00,0,0,---,0 of 0,50 of 116,43%,50 of 116,0,1,http://ufcstats.com/fight-details/cfca30d3ef3c86b9
0 of 0,1 of 1,10 of 24,1 of 1,5 of 7,5 of 17,23 of 24,2 of 2,15 of 27,5 of 5,5 of 6,30 of 42,1:39,0,0,100%,1 of 1,11 of 25,44%,11 of 25,0,0:00,0,1,---,0 of 0,57 of 72,75%,40 of 53,0,2,http://ufcstats.com/fight-details/cfca30d3ef3c86b9
0 of 0,3 of 4,10 of 10,5 of 5,5 of 5,3 of 4,0 of 0,4 of 4,13 of 25,4 of 4,7 of 8,6 of 17,0:23,0,0,---,0 of 0,17 of 18,92%,13 of 14,0,0:56,0,0,0%,0 of 1,22 of 34,58%,17 of 29,1,1,http://ufcstats.com/fight-details/b87ac039e3b13940
0 of 0,0 of 0,14 of 57,3 of 3,6 of 8,5 of 46,1 of 5,0 of 0,26 of 60,4 of 6,2 of 5,21 of 54,0:00,0,0,---,0 of 0,14 of 57,24%,14 of 57,0,0:23,0,0,---,0 of 0,27 of 65,41%,27 of 65,0,1,http://ufcstats.com/fight-details/a554a72bb0377213
0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,1 of 2,1 of 1,0 of 0,0 of 1,0:00,0,0,---,0 of 0,0 of 1,0%,0 of 1,0,0:00,0,0,---,0 of 0,1 of 2,50%,1 of 2,0,2,http://ufcstats.com/fight-details/a554a72bb0377213
0 of 0,4 of 6,13 of 43,6 of 8,3 of 14,8 of 27,4 of 7,1 of 1,20 of 34,2 of 4,7 of 9,16 of 29,0:26,0,0,---,0 of 0,21 of 53,34%,17 of 49,0,0:54,0,0,0%,0 of 2,26 of 43,59%,25 of 42,1,1,http://ufcstats.com/fight-details/bf59d9f8bd9536f3
0 of 0,0 of 0,20 of 53,5 of 6,8 of 15,7 of 32,0 of 0,0 of 0,13 of 29,6 of 7,2 of 6,5 of 16,0:00,0,0,---,0 of 0,48 of 83,37%,20 of 53,0,0:35,0,0,50%,1 of 2,14 of 31,44%,13 of 29,0,2,http://ufcstats.com/fight-details/bf59d9f8bd9536f3
3 of 3,3 of 3,4 of 7,0 of 1,7 of 7,3 of 5,2 of 4,0 of 0,2 of 3,0 of 0,0 of 0,4 of 7,1:01,0,0,60%,3 of 5,74 of 79,76%,10 of 13,0,3:44,0,0,100%,2 of 2,16 of 22,57%,4 of 7,0,3,http://ufcstats.com/fight-details/bf59d9f8bd9536f3
0 of 0,0 of 0,13 of 36,12 of 12,0 of 0,1 of 24,0 of 0,0 of 0,22 of 39,1 of 1,9 of 12,12 of 26,0:00,0,0,---,0 of 0,13 of 36,36%,13 of 36,0,0:00,0,0,---,0 of 0,22 of 39,56%,22 of 39,0,1,http://ufcstats.com/fight-details/5b6bdaf89e493674
0 of 0,4 of 10,17 of 41,13 of 14,4 of 4,4 of 33,0 of 0,0 of 1,25 of 52,4 of 5,12 of 15,9 of 33,0:13,0,0,0%,0 of 1,24 of 56,41%,21 of 51,0,0:03,0,0,---,0 of 0,25 of 53,47%,25 of 53,0,2,http://ufcstats.com/fight-details/5b6bdaf89e493674
0 of 0,0 of 0,22 of 51,14 of 15,1 of 1,7 of 35,0 of 0,0 of 0,26 of 66,1 of 3,5 of 5,20 of 58,0:00,0,0,---,0 of 0,22 of 51,43%,22 of 51,0,0:00,0,0,---,0 of 0,26 of 66,39%,26 of 66,0,3,http://ufcstats.com/fight-details/5b6bdaf89e493674
0 of 0,4 of 7,14 of 33,4 of 4,10 of 12,4 of 24,0 of 0,1 of 5,7 of 9,1 of 3,1 of 2,6 of 9,0:30,0,0,---,0 of 0,21 of 43,45%,18 of 40,0,2:36,0,0,66%,2 of 3,12 of 19,57%,8 of 14,0,1,http://ufcstats.com/fight-details/6a7db3750822d7be
0 of 0,0 of 0,6 of 14,1 of 1,1 of 2,4 of 11,0 of 0,0 of 0,2 of 6,1 of 1,0 of 0,1 of 5,0:09,0,0,0%,0 of 1,6 of 14,42%,6 of 14,0,0:10,0,1,100%,1 of 1,2 of 6,33%,2 of 6,0,2,http://ufcstats.com/fight-details/6a7db3750822d7be
0 of 0,0 of 0,34 of 66,10 of 12,12 of 16,12 of 38,0 of 0,1 of 2,19 of 55,6 of 9,3 of 4,11 of 44,0:00,0,0,0%,0 of 1,35 of 67,51%,34 of 66,0,0:00,0,0,---,0 of 0,22 of 60,35%,20 of 57,0,1,http://ufcstats.com/fight-details/98b7dd0ddc52cffb
0 of 0,0 of 0,39 of 105,4 of 5,5 of 7,30 of 93,0 of 0,0 of 0,35 of 88,8 of 8,7 of 8,20 of 72,0:05,0,0,---,0 of 0,40 of 106,37%,39 of 105,0,0:00,0,0,---,0 of 0,36 of 89,39%,35 of 88,0,2,http://ufcstats.com/fight-details/98b7dd0ddc52cffb
0 of 0,4 of 5,43 of 79,10 of 10,10 of 11,27 of 63,0 of 0,4 of 4,26 of 88,4 of 4,8 of 11,18 of 77,0:00,0,0,0%,0 of 2,47 of 84,55%,47 of 84,0,0:00,0,0,---,0 of 0,30 of 92,32%,30 of 92,0,3,http://ufcstats.com/fight-details/98b7dd0ddc52cffb
0 of 0,0 of 0,11 of 26,1 of 2,5 of 9,5 of 15,2 of 2,2 of 4,14 of 36,1 of 1,2 of 3,15 of 38,0:46,0,0,100%,1 of 1,15 of 31,42%,11 of 26,0,0:02,0,1,---,0 of 0,29 of 57,42%,18 of 42,1,1,http://ufcstats.com/fight-details/f32d918ee06cb83b
0 of 0,0 of 0,2 of 5,1 of 1,0 of 1,1 of 3,1 of 2,0 of 0,5 of 9,2 of 2,1 of 1,3 of 8,0:00,0,0,---,0 of 0,3 of 6,40%,2 of 5,0,1:30,0,1,---,0 of 0,25 of 33,54%,6 of 11,1,1,http://ufcstats.com/fight-details/5dcba156bd13e0c3
1 of 2,0 of 1,17 of 33,6 of 8,5 of 7,7 of 21,0 of 0,0 of 0,12 of 24,4 of 5,0 of 0,8 of 19,0:39,1,0,---,0 of 0,19 of 38,50%,18 of 36,0,1:55,0,0,50%,1 of 2,22 of 36,50%,12 of 24,0,1,http://ufcstats.com/fight-details/d6d141afdd31c3f1
0 of 0,0 of 0,2 of 4,1 of 1,0 of 0,1 of 3,4 of 5,0 of 0,2 of 4,1 of 2,0 of 0,5 of 7,0:00,0,0,---,0 of 0,2 of 4,50%,2 of 4,0,2:42,0,2,50%,1 of 2,26 of 40,66%,6 of 9,0,2,http://ufcstats.com/fight-details/d6d141afdd31c3f1
0 of 0,0 of 0,10 of 30,1 of 1,2 of 4,7 of 25,3 of 4,0 of 0,26 of 40,3 of 3,7 of 8,19 of 33,0:00,0,0,0%,0 of 1,10 of 32,33%,10 of 30,0,0:17,0,0,---,0 of 0,31 of 46,65%,29 of 44,3,1,http://ufcstats.com/fight-details/86dff1593d8b9a1f
1 of 1,0 of 0,1 of 3,1 of 1,0 of 0,1 of 3,7 of 10,0 of 0,2 of 6,0 of 0,1 of 1,8 of 15,0:00,0,0,---,0 of 0,6 of 12,50%,2 of 4,0,4:27,0,0,100%,1 of 1,13 of 29,56%,9 of 16,0,1,http://ufcstats.com/fight-details/44abbf6b947be6de
1 of 2,0 of 0,2 of 4,0 of 0,1 of 1,2 of 5,3 of 7,0 of 0,0 of 4,0 of 0,1 of 1,2 of 10,0:00,0,1,---,0 of 0,18 of 25,50%,3 of 6,0,4:25,0,0,25%,1 of 4,23 of 39,27%,3 of 11,0,2,http://ufcstats.com/fight-details/44abbf6b947be6de
3 of 4,0 of 0,4 of 15,0 of 0,4 of 8,3 of 11,0 of 0,0 of 0,5 of 10,1 of 1,1 of 1,3 of 8,0:11,1,0,---,0 of 0,12 of 25,36%,7 of 19,0,3:40,0,0,66%,2 of 3,15 of 27,50%,5 of 10,0,3,http://ufcstats.com/fight-details/44abbf6b947be6de
0 of 0,6 of 7,12 of 19,3 of 4,6 of 7,9 of 15,1 of 1,0 of 1,8 of 21,1 of 2,0 of 0,8 of 21,1:03,0,0,66%,2 of 3,22 of 32,69%,18 of 26,0,0:56,0,1,0%,0 of 2,15 of 30,39%,9 of 23,0,1,http://ufcstats.com/fight-details/fdb9d29cf0edc16a
2 of 4,2 of 2,2 of 5,0 of 0,5 of 6,1 of 5,4 of 5,3 of 3,5 of 10,0 of 0,3 of 3,9 of 15,0:38,0,0,---,0 of 0,10 of 16,54%,6 of 11,0,3:48,0,0,100%,2 of 2,51 of 60,66%,12 of 18,0,1,http://ufcstats.com/fight-details/523815acf1bb2420
0 of 1,5 of 6,8 of 21,0 of 1,7 of 9,6 of 18,0 of 0,2 of 2,16 of 21,0 of 0,2 of 3,16 of 20,0:04,0,0,0%,0 of 1,15 of 30,46%,13 of 28,0,1:17,0,1,0%,0 of 1,21 of 26,78%,18 of 23,1,2,http://ufcstats.com/fight-details/523815acf1bb2420
0 of 0,0 of 0,3 of 11,2 of 2,1 of 1,0 of 8,21 of 27,1 of 3,8 of 15,1 of 1,5 of 6,24 of 38,0:00,0,0,---,0 of 0,8 of 16,27%,3 of 11,0,4:20,0,1,75%,3 of 4,80 of 103,66%,30 of 45,0,1,http://ufcstats.com/fight-details/1f0d4572e0facbea
0 of 0,0 of 0,5 of 15,1 of 2,1 of 1,3 of 12,32 of 32,1 of 1,9 of 15,2 of 2,8 of 9,32 of 37,0:03,0,0,---,0 of 0,5 of 15,33%,5 of 15,0,2:46,0,1,50%,2 of 4,68 of 78,87%,42 of 48,0,2,http://ufcstats.com/fight-details/1f0d4572e0facbea
0 of 0,2 of 2,17 of 29,11 of 11,3 of 5,5 of 15,0 of 0,0 of 0,23 of 55,7 of 9,3 of 9,13 of 37,1:10,0,0,33%,1 of 3,28 of 41,61%,19 of 31,0,0:02,0,0,0%,0 of 1,23 of 55,41%,23 of 55,0,1,http://ufcstats.com/fight-details/5c3c4bcc6c746ca0
5 of 7,2 of 3,17 of 29,5 of 5,7 of 9,12 of 25,0 of 1,0 of 0,21 of 36,3 of 3,1 of 2,17 of 32,2:42,0,0,100%,3 of 3,45 of 62,61%,24 of 39,0,0:00,0,0,---,0 of 0,22 of 39,56%,21 of 37,0,2,http://ufcstats.com/fight-details/5c3c4bcc6c746ca0
1 of 2,1 of 1,13 of 23,5 of 5,3 of 4,7 of 17,0 of 0,4 of 4,36 of 67,5 of 5,2 of 3,33 of 63,1:52,0,0,28%,2 of 7,24 of 36,57%,15 of 26,0,0:00,0,0,---,0 of 0,46 of 77,56%,40 of 71,0,3,http://ufcstats.com/fight-details/5c3c4bcc6c746ca0
0 of 0,3 of 4,6 of 9,0 of 0,1 of 2,8 of 11,1 of 1,1 of 2,7 of 23,3 of 3,4 of 7,2 of 16,1:22,0,0,33%,2 of 6,13 of 17,69%,9 of 13,0,0:05,0,0,---,0 of 0,13 of 30,34%,9 of 26,0,1,http://ufcstats.com/fight-details/69f39e5d959311b1
0 of 0,1 of 1,14 of 46,2 of 2,4 of 5,9 of 40,4 of 5,0 of 0,27 of 62,4 of 4,8 of 10,19 of 53,0:10,0,0,14%,1 of 7,15 of 47,31%,15 of 47,0,0:03,0,0,---,0 of 0,32 of 68,46%,31 of 67,0,2,http://ufcstats.com/fight-details/69f39e5d959311b1
