F2 Ground,F2 Clinch,F2 Distance,F2 Leg,F2 Body,F2 Head,F1 Ground,F1 Clinch,F1 Distance,F1 Leg,F1 Body,F1 Head,F2 Control Time,F2 Reversals,F2 Sub Attacks,F2 Takedown Perc,F2 Takedowns,F2 Total Strikes,F2 Sig Strike Perc,F2 Sig Strikes,F2 Knockdowns,F1 Control Time,F1 Reversals,F1 Sub Attacks,F1 Takedown Perc,F1 Takedowns,F1 Total Strikes,F1 Sig Strike Perc,F1 Sig Strikes,F1 Knockdowns,Round,Fight Link
0 of 0,2 of 4,13 of 43,0 of 0,8 of 11,7 of 36,2 of 4,1 of 1,17 of 43,6 of 8,5 of 6,9 of 34,0:00,0,0,---,0 of 0,15 of 47,31%,15 of 47,0,0:45,0,0,40%,2 of 5,22 of 50,41%,20 of 48,0,1,http://ufcstats.com/fight-details/adb35d212e716b8a
0 of 0,5 of 6,9 of 40,2 of 2,8 of 11,4 of 33,0 of 0,5 of 7,12 of 31,7 of 7,2 of 4,8 of 27,0:01,0,0,---,0 of 0,14 of 46,30%,14 of 46,0,0:45,0,0,0%,0 of 6,19 of 40,44%,17 of 38,0,2,http://ufcstats.com/fight-details/adb35d212e716b8a
0 of 1,2 of 2,7 of 19,1 of 2,3 of 4,5 of 16,8 of 9,2 of 3,3 of 13,0 of 2,6 of 6,7 of 17,0:00,0,0,---,0 of 0,10 of 24,40%,9 of 22,0,2:44,0,0,50%,2 of 4,25 of 39,52%,13 of 25,0,3,http://ufcstats.com/fight-details/adb35d212e716b8a
0 of 0,0 of 0,11 of 20,5 of 6,1 of 2,5 of 12,0 of 2,12 of 14,14 of 30,2 of 2,11 of 14,13 of 30,0:06,1,0,0%,0 of 2,13 of 22,55%,11 of 20,0,0:14,0,0,---,0 of 0,30 of 50,56%,26 of 46,0,1,http://ufcstats.com/fight-details/638a999dab6fe310
0 of 0,0 of 0,10 of 24,3 of 3,2 of 2,5 of 19,6 of 7,4 of 4,15 of 45,1 of 1,12 of 12,12 of 43,0:01,0,0,0%,0 of 3,10 of 24,41%,10 of 24,0,0:12,0,0,---,0 of 0,26 of 58,44%,25 of 56,0,2,http://ufcstats.com/fight-details/638a999dab6fe310
0 of 0,0 of 0,7 of 24,0 of 0,2 of 2,5 of 22,10 of 11,5 of 7,17 of 50,0 of 0,8 of 9,24 of 59,0:02,0,0,0%,0 of 6,7 of 24,29%,7 of 24,0,0:33,0,0,---,0 of 0,42 of 78,47%,32 of 68,0,3,http://ufcstats.com/fight-details/638a999dab6fe310
0 of 0,1 of 1,22 of 54,1 of 2,8 of 10,14 of 43,0 of 0,0 of 0,29 of 63,16 of 20,6 of 8,7 of 35,0:04,0,0,---,0 of 0,28 of 60,41%,23 of 55,0,0:00,0,0,---,0 of 0,30 of 64,46%,29 of 63,0,1,http://ufcstats.com/fight-details/09a2909e1848be52
0 of 0,0 of 1,32 of 63,1 of 1,12 of 16,19 of 47,0 of 0,0 of 1,29 of 77,11 of 16,9 of 10,9 of 52,0:04,0,0,---,0 of 0,35 of 67,50%,32 of 64,0,0:00,0,0,---,0 of 0,29 of 78,37%,29 of 78,0,2,http://ufcstats.com/fight-details/09a2909e1848be52
1 of 1,0 of 0,21 of 53,1 of 1,8 of 10,13 of 43,0 of 0,1 of 1,31 of 71,15 of 17,7 of 11,10 of 44,0:02,0,0,---,0 of 0,24 of 56,40%,22 of 54,0,0:00,0,0,---,0 of 0,33 of 74,44%,32 of 72,0,3,http://ufcstats.com/fight-details/09a2909e1848be52
0 of 0,0 of 0,11 of 28,1 of 2,8 of 9,2 of 17,0 of 0,0 of 0,36 of 63,17 of 23,6 of 8,13 of 32,0:10,0,0,0%,0 of 2,11 of 28,39%,11 of 28,0,0:00,0,0,---,0 of 0,37 of 64,57%,36 of 63,0,4,http://ufcstats.com/fight-details/09a2909e1848be52
