Fighter1,Fighter2,F1 Kd,F2 Kd,F2 Str,F1 Str,F1 Td,F2 Td,F1 Sub,F2 Sub,Weight Class,Finish Type,Finish Attack,Finish Round,Finish Time,Fight Bonus,Perf Bonus,Sub Bonus,Ko Bonus,Title Match,Link,Card Link,F1 Link,F2 Link
Alex Pereira,Israel Adesanya,0,0,86,91,1,1,0,0,Middleweight,KO/TKO,Punches,5,2:01,False,True,False,False,True,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/e5549c82bfb5582d,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Zhang Weili,Carla Esparza,0,0,6,37,0,1,1,0,Women's Strawweight,SUB,Rear Naked Choke,2,1:05,False,True,False,False,True,http://ufcstats.com/fight-details/85b5d59f8eea976a,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/1ebe20ebbfa15e29,http://ufcstats.com/fighter-details/d910665038efc639
Dustin Poirier,Michael Chandler,0,0,43,38,0,3,2,0,Lightweight,SUB,Rear Naked Choke,3,2:00,True,False,False,False,False,http://ufcstats.com/fight-details/4bf3010fdeea9d93,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,http://ufcstats.com/fighter-details/4b93a88f3b1de35b
Chris Gutierrez,Frankie Edgar,1,0,2,10,0,0,0,0,Bantamweight,KO/TKO,Knee,1,2:01,False,False,False,False,False,http://ufcstats.com/fight-details/09afa6ce4747a1a2,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/45f0cc9d18f35137,http://ufcstats.com/fighter-details/f2688492b9a525a3
Dan Hooker,Claudio Puelles,1,0,5,29,0,0,1,1,Lightweight,KO/TKO,Kick,2,4:06,False,False,False,False,False,http://ufcstats.com/fight-details/77c78d0a71b10692,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/193b9d1858bc4df3,http://ufcstats.com/fighter-details/d747eb273a40a920
Renato Moicano,Brad Riddell,0,0,14,10,0,0,1,0,Lightweight,SUB,Rear Naked Choke,1,3:20,False,False,False,False,False,http://ufcstats.com/fight-details/1f922cfe6178e830,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/b6452706b373eea1,http://ufcstats.com/fighter-details/37ed1ab2f8b819f4
Ryan Spann,Dominick Reyes,1,0,5,8,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:20,False,False,False,False,False,http://ufcstats.com/fight-details/6f22afbc5f8e0bd3,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,http://ufcstats.com/fighter-details/2e19380f34871c6a
Erin Blanchfield,Molly McCann,0,0,7,25,1,0,2,0,Women's Flyweight,SUB,Kimura,1,3:37,False,False,False,False,False,http://ufcstats.com/fight-details/93da91272d4a7ce3,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/669970f7feba8ecd,http://ufcstats.com/fighter-details/51018a31ddf31eb2
Andre Petroski,Wellington Turman,0,0,41,42,8,1,2,1,Middleweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/65ce9335b93d9c57,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0,http://ufcstats.com/fighter-details/4dcfb28c011c11b2
Matt Frevola,Ottman Azaitar,1,0,10,11,0,0,0,0,Lightweight,KO/TKO,Punch,1,2:30,False,False,False,False,False,http://ufcstats.com/fight-details/40707ddc9fdea500,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/dccb63727f2f5f74,http://ufcstats.com/fighter-details/ee18ff42063174df
Karolina Kowalkiewicz,Silvana Gomez Juarez,0,0,77,74,2,0,0,0,Women's Strawweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/ff2e4b411f695017,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/d7c3816669784109,http://ufcstats.com/fighter-details/b4880ef2f838d4e1
Michael Trizano,SeungWoo Choi,2,1,26,32,0,0,0,0,Featherweight,KO/TKO,Punch,1,4:51,False,False,False,False,False,http://ufcstats.com/fight-details/7f93b2f38497caec,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/5bf31a46becc1204,http://ufcstats.com/fighter-details/a68575214ecad140
Montel Jackson,Julio Arce,1,0,26,48,0,1,0,0,Bantamweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/bee95769a221af9a,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d,http://ufcstats.com/fighter-details/1291edf2d566a71a
Carlos Ulberg,Nicolae Negumereanu,1,0,2,14,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:44,False,False,False,False,False,http://ufcstats.com/fight-details/db026ff6eee4d174,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/9014c02eff8b3d62,http://ufcstats.com/fighter-details/8c57c7b8c3bab0eb
Amanda Lemos,Marina Rodriguez,0,0,19,29,1,0,1,0,Women's Strawweight,KO/TKO,Punches,3,0:54,False,False,False,False,False,http://ufcstats.com/fight-details/abfc03893551ae73,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/3df5493bb279226f,http://ufcstats.com/fighter-details/cd2c4d30c6e13b47
Neil Magny,Daniel Rodriguez,0,0,66,57,5,0,1,0,Welterweight,SUB,D'Arce Choke,3,3:33,False,True,False,False,False,http://ufcstats.com/fight-details/b279559f15ecf29b,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6
Shayilan Nuerdanbieke,Darrick Minner,1,0,5,19,0,0,0,0,Featherweight,KO/TKO,Elbows,1,1:07,False,False,False,False,False,http://ufcstats.com/fight-details/2664805fde34fb1b,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/0a73acff6325c1e2,http://ufcstats.com/fighter-details/34e516ab361afb1c
Tagir Ulanbekov,Nate Maness,0,0,4,4,1,0,1,0,Flyweight,SUB,Guillotine Choke,1,2:11,False,False,False,False,False,http://ufcstats.com/fight-details/3adecfc4727a8d73,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/f00ac08ab056af5d,http://ufcstats.com/fighter-details/6e9f40c706f91f32
Grant Dawson,Mark Madsen,1,0,15,33,2,0,2,0,Lightweight,SUB,Rear Naked Choke,3,2:05,False,False,False,False,False,http://ufcstats.com/fight-details/1535fb6549fa8bab,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/99bd51917728c25d,http://ufcstats.com/fighter-details/da0995f19b749cfa
Miranda Maverick,Shanna Young,0,0,29,63,5,0,1,0,Women's Flyweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/71afa8354da2491e,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/f29a6350c69f4a33,http://ufcstats.com/fighter-details/568bbad0eaced57c
Mario Bautista,Benito Lopez,0,0,17,44,1,0,3,0,Bantamweight,SUB,Triangle Armbar,1,4:54,False,True,False,False,False,http://ufcstats.com/fight-details/2ab395e21080b10a,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,http://ufcstats.com/fighter-details/773f7feacf96153e
Polyana Viana,Jinh Yu Frey,1,0,6,11,0,0,0,0,Women's Strawweight,KO/TKO,Punches,1,0:47,False,True,False,False,False,http://ufcstats.com/fight-details/5475f5b6bad40989,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/9673a497a9da119a,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8
Johnny Munoz,Liudvik Sholinian,0,0,56,78,2,0,0,0,Bantamweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/31cb98ce37fd87dd,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/f6bcbd91b114ff58,http://ufcstats.com/fighter-details/1a54231796e24a3f
Jake Hadley,Carlos Candelario,0,0,69,90,0,1,1,0,Flyweight,SUB,Triangle Choke,2,2:39,False,False,False,False,False,http://ufcstats.com/fight-details/cfca30d3ef3c86b9,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/60a42bf82447c919,http://ufcstats.com/fighter-details/760a55d5b6098cbe
Tamires Vidal,Ramona Pascual,1,0,13,17,0,0,0,0,Women's Bantamweight,KO/TKO,Flying Knee,1,3:06,False,True,False,False,False,http://ufcstats.com/fight-details/b87ac039e3b13940,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/4f3064faf17aa711,http://ufcstats.com/fighter-details/3eb4dc9a7d4ac906
Arnold Allen,Calvin Kattar,0,0,14,28,0,0,0,0,Featherweight,KO/TKO,,2,0:08,False,False,False,False,False,http://ufcstats.com/fight-details/a554a72bb0377213,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/040a74bb0a465c54,http://ufcstats.com/fighter-details/751de04455cfaac0
Max Griffin,Tim Means,1,0,47,42,3,3,0,0,Welterweight,S-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/bf59d9f8bd9536f3,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d,http://ufcstats.com/fighter-details/4b47e71384a9522f
Waldo Cortes-Acosta,Jared Vanderaa,0,0,56,73,0,0,0,0,Heavyweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/5b6bdaf89e493674,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/fc08099550072fe4,http://ufcstats.com/fighter-details/2b68d9f125d07b42
Tresean Gore,Josh Fremd,0,0,24,10,3,0,1,0,Middleweight,SUB,Guillotine Choke,2,0:49,False,True,False,False,False,http://ufcstats.com/fight-details/6a7db3750822d7be,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/147e70aa6cc48cfc,http://ufcstats.com/fighter-details/ca43de99b07b6b40
Khalil Rountree Jr.,Dustin Jacoby,0,0,120,85,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/98b7dd0ddc52cffb,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/749f572d1d3161fb,http://ufcstats.com/fighter-details/e4277e87a789d687
Roman Dolidze,Phil Hawes,1,0,11,18,0,1,1,0,Middleweight,KO/TKO,,1,4:09,False,True,False,False,False,http://ufcstats.com/fight-details/f32d918ee06cb83b,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/327d5f279895110d,http://ufcstats.com/fighter-details/547afe1017e72dbe
Marcos Rogerio de Lima,Andrei Arlovski,1,0,2,6,0,0,1,0,Heavyweight,SUB,Rear Naked Choke,1,1:50,False,False,False,False,False,http://ufcstats.com/fight-details/5dcba156bd13e0c3,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/ab943cd2c3c17825,http://ufcstats.com/fighter-details/3738e68d2261e60f
Junyong Park,Joseph Holmes,0,0,20,18,2,0,2,0,Middleweight,SUB,Rear Naked Choke,2,3:04,False,False,False,False,False,http://ufcstats.com/fight-details/d6d141afdd31c3f1,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/285ae0b4a68221f4,http://ufcstats.com/fighter-details/8d20d76af3f213ce
Steve Garcia,Chase Hooper,3,0,10,29,0,0,0,0,Featherweight,KO/TKO,Punches,1,1:32,False,True,False,False,False,http://ufcstats.com/fight-details/86dff1593d8b9a1f,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889,http://ufcstats.com/fighter-details/971246648e162f0d
Cody Durden,Carlos Mota,0,0,12,17,4,0,0,1,Flyweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/44abbf6b947be6de,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,http://ufcstats.com/fighter-details/b15862fcd6ded451
Christian Rodriguez,Joshua Weems,0,0,18,9,0,2,1,0,Bantamweight,SUB,Anaconda Choke,1,4:07,False,True,False,False,False,http://ufcstats.com/fight-details/fdb9d29cf0edc16a,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/5ec591b78349ba7e,http://ufcstats.com/fighter-details/69888118d968ba52
Islam Makhachev,Charles Oliveira,1,0,19,30,2,0,1,0,Lightweight,SUB,Arm Triangle,2,3:16,False,True,False,False,True,http://ufcstats.com/fight-details/523815acf1bb2420,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/275aca31f61ba28c,http://ufcstats.com/fighter-details/07225ba28ae309b6
Aljamain Sterling,TJ Dillashaw,0,0,8,72,5,0,2,0,Bantamweight,KO/TKO,Punches,2,3:44,False,False,False,False,True,http://ufcstats.com/fight-details/1f0d4572e0facbea,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/cb696ebfb6598724,http://ufcstats.com/fighter-details/c849740a3ff51931
Sean O'Malley,Petr Yan,0,0,58,84,0,6,0,0,Bantamweight,S-DEC,,3,5:00,True,False,False,False,False,http://ufcstats.com/fight-details/5c3c4bcc6c746ca0,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/b50a426a33da0012,http://ufcstats.com/fighter-details/d661ce4da776fc20
Beneil Dariush,Mateusz Gamrot,1,0,33,59,0,4,0,0,Lightweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/69f39e5d959311b1,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/08af939f41b5a57b,http://ufcstats.com/fighter-details/72db2a14ffa73ece
Manon Fiorot,Katlyn Chookagian,0,0,76,98,1,0,0,0,Women's Flyweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/25f3e4fa781c1c8a,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/34ff304266360297,http://ufcstats.com/fighter-details/e872e9a9a902c045
Belal Muhammad,Sean Brady,0,0,58,80,0,0,0,0,Welterweight,KO/TKO,Punches,2,4:47,False,True,False,False,False,http://ufcstats.com/fight-details/d325a1483d78ae75,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/b1b0729d27936f2f,http://ufcstats.com/fighter-details/45f7cb591c3ab00b
Caio Borralho,Makhmud Muradov,0,0,14,19,1,2,2,0,Middleweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/2d36e2c10ee349fe,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/4126a78111c0855a,http://ufcstats.com/fighter-details/ea7e5bc78d9de658
Nikita Krylov,Volkan Oezdemir,0,0,42,57,7,1,1,0,Light Heavyweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/f4d8266a42a41dff,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/1091d4d957141094,http://ufcstats.com/fighter-details/0845c81e37d3bcb3
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,0,0,38,40,1,1,0,0,Welterweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/cea6760d7bfbe19b,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/029e1293e609fd74,http://ufcstats.com/fighter-details/684d3aee255a3d09
Armen Petrosyan,AJ Dobson,0,0,58,118,0,3,0,0,Middleweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/1b204fc28bb023e6,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/369ea36e450ae62a,http://ufcstats.com/fighter-details/009c4420727149ea
Muhammad Mokaev,Malcolm Gordon,0,0,17,21,6,1,1,1,Flyweight,SUB,Armbar,3,4:26,False,False,False,False,False,http://ufcstats.com/fight-details/1e8c33b1917fe1b7,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/75353550928a7921,http://ufcstats.com/fighter-details/dee294e9717012c2
Karol Rosa,Lina Lansberg,0,1,36,54,3,0,0,0,Women's Bantamweight,M-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/4011cdf1f182804c,http://ufcstats.com/event-details/885e7f70dcac0007,http://ufcstats.com/fighter-details/351c4ec637380ad5,http://ufcstats.com/fighter-details/2eeaefbfc7f9fcff
Alexa Grasso,Viviane Araujo,0,0,126,153,0,2,0,0,Women's Flyweight,U-DEC,,5,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/904cf687d22bb486,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/e8b731feff72294b,http://ufcstats.com/fighter-details/36541f1e6c5d4955
Jonathan Martinez,Cub Swanson,2,0,51,62,0,1,0,0,Bantamweight,KO/TKO,Kick,2,4:19,False,True,False,False,False,http://ufcstats.com/fight-details/1af23e7aa71a1d17,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/f2477cf43c4975cc,http://ufcstats.com/fighter-details/d247691a6c0e9034
Dusko Todorovic,Jordan Wright,0,0,25,61,0,3,0,1,Middleweight,KO/TKO,Elbows,2,3:12,True,False,False,False,False,http://ufcstats.com/fight-details/759c55755d70f7ba,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f,http://ufcstats.com/fighter-details/c878270af633eb11
Raphael Assuncao,Victor Henry,0,0,55,60,2,0,0,0,Bantamweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/96d4fe315722d1c1,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/2f13e4020cea5b38,http://ufcstats.com/fighter-details/eb8d8c2a95cfccb8
Alonzo Menifield,Misha Cirkunov,1,0,5,8,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:28,False,False,False,False,False,http://ufcstats.com/fight-details/59695aae245cca73,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/a495f599e787614f,http://ufcstats.com/fighter-details/67f272324a030d00
Mana Martinez,Brandon Davis,2,0,76,87,1,1,0,0,Bantamweight,S-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/8252a314c778b8e6,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/c0386644627a7ee5,http://ufcstats.com/fighter-details/cc351e408bbb7d43
Jacob Malkoun,Nick Maximov,0,0,34,83,9,0,0,0,Middleweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/860050f211b44d10,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/d4270315cbcf2569,http://ufcstats.com/fighter-details/12585614e0ed2626
Joanderson Brito,Lucas Alexander,0,0,1,4,2,0,1,0,Featherweight,SUB,Rear Naked Choke,1,2:02,False,False,False,False,False,http://ufcstats.com/fight-details/b4bbc1b7efa770f5,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/791c8437b341fba5,http://ufcstats.com/fighter-details/11583163f45c7b31
Piera Rodriguez,Sam Hughes,0,0,69,83,5,0,0,0,Women's Strawweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/60bd4d2878c85f70,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/e375cb5caf4717b6,http://ufcstats.com/fighter-details/e94085e821bd81de
Tatsuro Taira,CJ Vergara,0,0,19,22,3,0,2,0,Flyweight,SUB,Armbar,2,4:19,False,True,False,False,False,http://ufcstats.com/fight-details/fac560495e61d34c,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/4461d7e47375a895,http://ufcstats.com/fighter-details/077e3ace32b72be9
Pete Rodriguez,Mike Jackson,1,0,10,22,0,0,0,0,Welterweight,KO/TKO,Knee,1,1:33,False,False,False,False,False,http://ufcstats.com/fight-details/84b04e8d6b251c54,http://ufcstats.com/event-details/49c29e57d4e2be6f,http://ufcstats.com/fighter-details/776d4262c4da38bf,http://ufcstats.com/fighter-details/0641c21bec209472
Yan Xiaonan,Mackenzie Dern,0,0,61,113,0,2,0,2,Women's Strawweight,M-DEC,,5,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/d33814971932422a,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/c41d426cc7326d1b,http://ufcstats.com/fighter-details/7447e9f28508106a
Randy Brown,Francisco Trinaldo,1,0,40,60,0,1,1,0,Welterweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/7d0d2cecab358ba1,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/c6aee362c7a7d482,http://ufcstats.com/fighter-details/a8283a4f415e1eb9
Raoni Barcelos,Trevin Jones,1,0,11,73,2,0,0,0,Bantamweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/a73e33dfce8fcfd8,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,http://ufcstats.com/fighter-details/ec23c1be628d8057
Sodiq Yusuff,Don Shainis,0,0,3,9,0,0,1,0,Featherweight,SUB,Guillotine Choke,1,0:30,False,False,False,False,False,http://ufcstats.com/fight-details/1aedd959f1523a27,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/94426bb170c88115,http://ufcstats.com/fighter-details/da4628f173337902
Mike Davis,Viacheslav Borshchev,0,0,63,65,9,0,1,0,Lightweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/330506571d2778b1,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/fb3e61720be4690c,http://ufcstats.com/fighter-details/19c591115a58982c
Daniel Santos,John Castaneda,1,1,57,69,2,3,0,0,Catch Weight,KO/TKO,Knee,2,4:28,True,False,False,False,False,http://ufcstats.com/fight-details/63f6af6d5f7b82ad,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/b67d6bacc68d4c92,http://ufcstats.com/fighter-details/5fa2974cbd18e05c
Ilir Latifi,Aleksei Oleinik,0,0,28,38,3,0,0,0,Heavyweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/de93fda66d203c26,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/e9a3aeb207578eea,http://ufcstats.com/fighter-details/98c23cb6da5b3352
Joaquim Silva,Jesse Ronson,1,0,39,45,0,0,0,0,Lightweight,KO/TKO,Flying Knee,2,3:08,False,True,False,False,False,http://ufcstats.com/fight-details/ecc56a86a1eead9d,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/ae7fe94f117f98cf,http://ufcstats.com/fighter-details/5580771f383e141f
Brendan Allen,Krzysztof Jotko,0,0,3,3,1,0,1,0,Middleweight,SUB,Rear Naked Choke,1,4:17,False,True,False,False,False,http://ufcstats.com/fight-details/8c9ff13791378784,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/2f181c0467965b98,http://ufcstats.com/fighter-details/4e06913c91da5200
Chelsea Chandler,Julija Stoliarenko,0,0,12,38,0,1,0,0,Catch Weight,KO/TKO,Punches,1,4:15,False,True,False,False,False,http://ufcstats.com/fight-details/ad59e2de1ab5c8d2,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/af9efbfd63d39734,http://ufcstats.com/fighter-details/a78a87d8c2bbb1cb
Guido Cannetti,Randy Costa,0,0,2,8,1,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,1:04,False,True,False,False,False,http://ufcstats.com/fight-details/6c79db79da9ae874,http://ufcstats.com/event-details/4f670b7972fa0a2e,http://ufcstats.com/fighter-details/d05412b513b19621,http://ufcstats.com/fighter-details/325ad0dd9126d3df
Cory Sandhagen,Song Yadong,0,0,54,94,1,2,0,0,Bantamweight,KO/TKO,,4,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/df370b97ea49e6b4,http://ufcstats.com/event-details/8d477c3fbe001f9d,http://ufcstats.com/fighter-details/65f09bacd3957381,http://ufcstats.com/fighter-details/efb96bf3e9ada36f
Gregory Rodrigues,Chidi Njokuani,1,0,44,48,1,0,0,0,Middleweight,KO/TKO,Punches,2,1:27,True,False,False,False,False,http://ufcstats.com/fight-details/bd06f1c2d7e6c4a0,http://ufcstats.com/event-details/8d477c3fbe001f9d,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,http://ufcstats.com/fighter-details/c68c68efaa5ca6ef
Andre Fili,Bill Algeo,0,0,81,59,1,0,2,0,Featherweight,S-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/adb78db5ba8ccc0f,http://ufcstats.com/event-details/8d477c3fbe001f9d,http://ufcstats.com/fighter-details/8fd808923cffff82,http://ufcstats.com/fighter-details/9abc648e76c4493a
Joe Pyfer,Alen Amedovski,1,0,11,14,0,0,0,0,Middleweight,KO/TKO,Punch,1,3:55,False,True,False,False,False,http://ufcstats.com/fight-details/160c17b8fcb0e2a1,http://ufcstats.com/event-details/8d477c3fbe001f9d,http://ufcstats.com/fighter-details/c1085e1701b13eca,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Rodrigo Nascimento,Tanner Boser,0,0,62,36,3,0,1,0,Heavyweight,S-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/3cbd3565dd631cc4,http://ufcstats.com/event-details/8d477c3fbe001f9d,http://ufcstats.com/fighter-details/d31a5546c0e9b213,http://ufcstats.com/fighter-details/04c8b08b16a5b99e
Anthony Hernandez,Marc-Andre Barriault,0,0,25,39,8,0,2,0,Middleweight,SUB,Arm Triangle,3,1:53,False,False,False,False,False,http://ufcstats.com/fight-details/ce5ebaf8caf8c4a7,http://ufcstats.com/event-details/8d477c3fbe001f9d,http://ufcstats.com/fighter-details/093e1f5bb73850be,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d
Damon Jackson,Pat Sabatini,0,0,1,11,1,0,0,0,Featherweight,KO/TKO,Punches,1,1:09,False,True,False,False,False,http://ufcstats.com/fight-details/f521ecde1e96a1bd,http://ufcstats.com/event-details/8d477c3fbe001f9d,http://ufcstats.com/fighter-details/29af297d9f1de0f8,http://ufcstats.com/fighter-details/b8bbdeff718dbb7d
Trevin Giles,Louis Cosce,0,0,10,25,2,1,0,1,Welterweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/46b9acec12a35d37,http://ufcstats.com/event-details/8d477c3fbe001f9d,http://ufcstats.com/fighter-details/b27a1fcb56a3035a,http://ufcstats.com/fighter-details/afe8d5b39ff7fca2
